522,1098.419067,-838.242492,112.334060,183.371688,50,126;
421,1676.547607,-1111.154663,23.788688,89.649887,37,120;
572,1912.037963,-1202.873413,19.489868,229.699554,62,5;
466,1450.485107,-1409.057495,13.200857,179.783020,72,65;
462,1957.616577,-1506.186279,2.944993,268.320373,68,4;
529,2677.102050,-1879.301025,10.596205,238.511840,79,94;
412,2492.405761,-1953.196166,13.265494,358.332580,97,58;
596,2142.549072,-1987.058593,13.276055,62.567691,20,119;
470,1764.356811,-1944.957519,13.553493,290.312438,117,96;
545,1424.287841,-1927.472412,15.139370,333.922668,88,56;
467,928.289184,-1227.835083,16.689983,248.760589,1,48;
404,228.424179,-1643.570434,12.569242,38.326507,83,33;
491,318.058990,-1809.068359,4.240345,356.013214,1,5;
400,560.585571,-1251.275146,17.293577,301.760559,71,70;
555,1384.891113,-1009.316955,26.928049,182.109893,48,8;
474,303.714813,-1428.185791,23.519063,316.589813,51,104;
422,1003.730407,-1349.015625,13.333503,358.937194,71,81;
478,982.392333,-1301.209838,13.379817,193.059402,22,97;
543,908.624511,-1548.821289,13.495937,322.162048,34,62;
507,1138.472290,-1488.278686,15.622544,181.802352,40,33;
482,706.727478,-1635.489257,3.597201,0.108824,59,53;
478,1914.018798,-1426.487548,10.370000,12.916868,34,87;
478,982.401306,-1301.248291,13.328353,193.059616,22,97;
470,930.466064,-1209.219726,17.058889,288.811462,11,89;
470,790.515808,-1378.425415,13.635969,179.455871,122,124;
470,767.563537,-1387.620605,13.649759,89.394363,45,41;
492,2205.340087,-1161.034301,25.516590,270.607513,95,40;
410,2344.450439,-1193.513183,27.631294,211.160278,62,27;
571,2647.061523,-1380.362304,29.564014,358.995758,5,79;
409,2646.604492,-1389.335937,30.076845,179.590728,75,117;
541,2780.704589,-1837.852416,9.417039,212.238830,58,56;
571,2776.043701,-1839.545288,9.060582,197.600967,67,16;
434,2771.474609,-1840.922241,9.729181,198.900558,123,14;
434,975.926574,-1833.329833,12.574013,75.463760,97,68;
571,966.270812,-1830.815185,11.888157,76.097549,10,123;
541,342.209899,-1347.493896,14.132886,299.269683,7,23;
409,337.169586,-1354.228515,14.309539,208.525634,16,16;
571,344.810638,-1352.365234,13.790059,298.174957,77,108;
